,Unnamed: 0,ticker,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5,resultado
788,788,FHER3_2021,0.0,1.48,1.91,1.14,1.17,0.23,0.34,1.16,1.18,1.68,1.73,12.39,9.64,0.0,0.91,0.54,0.56,0.18,0.82,1.72,23.29,20.28,19.63,15.55,128.53,23.16,80.72,1.49,3.75,72.89,16.392145748987854
789,789,FHER3_2022,0.0,6.18,2.52,35.42,16.07,0.16,0.31,1.18,1.37,33.49,15.2,2.8,6.84,0.0,0.14,1.93,0.88,0.12,0.88,1.51,4.28,0.46,1.02,2.65,40.86,4.99,33.26,1.88,3.45,0.0,16.45864
790,790,FHER3_2023,0.0,0.99,10.22,1.08,0.97,0.07,0.14,0.98,0.54,0.96,0.86,7.48,0.72,0.0,1.12,0.12,0.11,0.01,0.99,1.24,0.2,6.77,7.55,7.38,0.0,14.18,0.0,1.92,3.45,0.0,12.681330645161289
802,802,SANB4_2019,4.65,10.75,2.53,7.15,7.92,2.42,0.21,1.97,0.53,7.53,8.34,2.19,9.29,0.0,0.0,0.0,0.0,0.13,0.87,0.03,60.85,33.86,30.58,22.52,16.98,2.15,0.0,0.1,4.33,23.85,16.172727272727272
803,803,SANB4_2020,6.26,13.13,2.08,0.0,18.23,2.81,0.18,0.37,0.21,0.0,17.39,1.79,11.32,0.0,0.0,0.0,0.0,0.09,0.91,0.26,70.8,0.0,15.39,21.38,15.81,1.36,0.0,0.06,2.12,6.52,13.501325301204819
804,804,SANB4_2021,9.31,7.69,1.1,0.0,4.83,1.53,0.12,0.27,0.14,0.0,4.54,2.08,14.54,0.0,0.0,0.0,0.0,0.11,0.89,0.23,65.8,0.0,31.74,19.95,14.27,1.59,0.0,0.08,0.22,16.23,16.96927125506073
805,805,SANB4_2022,7.86,7.81,1.02,0.0,5.72,0.97,0.11,0.13,0.12,0.0,5.4,1.91,14.69,0.0,0.0,0.0,0.0,0.1,0.82,0.44,41.23,0.0,16.99,12.44,13.01,1.35,0.0,0.11,10.04,9.95,15.08676
806,806,SANB4_2023,5.14,13.63,1.12,0.0,21.01,1.27,0.11,0.0,0.12,0.0,19.96,1.25,15.12,0.34,0.0,0.0,0.0,0.1,0.9,0.0,16.51,0.0,6.05,9.32,8.25,0.83,0.0,0.09,10.04,0.94,14.80508064516129
833,833,BRML3_2019,4.93,12.63,1.43,8.52,8.0,12.52,0.84,23.82,0.9,9.57,8.99,1.43,12.66,0.0,0.18,1.05,0.98,0.59,0.38,2.41,89.56,146.91,156.52,99.13,11.29,6.67,11.12,0.07,1.04,20.61,13.792020202020202
834,834,BRML3_2020,0.0,29.41,0.8,47.52,31.61,9.45,0.45,6.22,0.5,60.94,40.54,0.34,12.31,0.0,0.23,13.42,8.93,0.56,0.41,4.01,87.67,19.88,29.88,32.11,2.73,1.53,2.77,0.05,7.67,0.0,11.379999999999999
835,835,BRML3_2021,0.0,38.81,0.67,11.17,12.87,6.41,0.37,5.8,0.41,15.14,17.45,0.21,12.34,0.0,0.24,3.97,4.58,0.55,0.42,3.0,90.42,57.44,49.84,16.53,1.74,0.96,3.21,0.06,2.54,1.77,9.344008097165991
836,836,BRML3_2022,0.65,12.0,0.62,7.12,6.91,4.75,0.38,17.68,0.41,9.06,8.79,0.69,13.43,0.0,0.17,1.94,1.88,0.61,0.38,1.37,89.05,66.74,68.85,39.63,5.15,3.16,6.74,0.08,2.7,0.0,8.755600000000001
