,Unnamed: 0,ticker,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5,resultado
14,14,MOSI3_2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.36,0.38,0.31,0.69,1.28,90.57,49.92,48.25,56.11,107.48,32.94,41.42,0.59,0.0,0.0,
15,15,MOSI3_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.13,0.49,0.51,1.63,92.13,29.7,27.01,26.11,54.96,27.0,38.28,1.03,0.0,0.0,
16,16,MOSI3_2021,0.01,33.58,1.63,49.13,79.52,4.95,1.52,1.99,8.74,24.72,40.01,0.26,5.27,0.0,0.81,24.41,39.51,0.93,0.07,13.23,89.47,10.08,6.23,14.75,4.84,4.52,0.25,0.31,0.0,0.0,16.871785714285714
17,17,MOSI3_2022,0.0,32.29,1.56,47.23,76.45,4.76,1.46,1.91,8.4,22.82,36.94,0.26,5.27,0.0,0.81,24.41,39.51,0.93,0.07,13.23,89.47,10.08,6.23,14.75,4.84,4.52,0.25,0.31,0.0,0.0,7.84433962264151
18,18,MOSI3_2023,0.0,32.29,1.56,47.23,76.45,4.76,1.46,1.91,8.4,22.82,36.94,0.26,5.27,0.0,0.81,24.41,39.51,0.93,0.07,13.23,89.47,10.08,6.23,14.75,4.84,4.52,0.25,0.31,0.0,0.0,
19,19,EEEL4_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,1.66,0.27,0.73,0.95,56.9,0.0,38.05,20.73,21.32,5.85,19.21,0.28,0.0,0.0,
20,20,EEEL4_2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.33,0.56,0.44,1.08,50.06,0.0,184.35,186.44,63.59,35.55,49.78,0.19,0.0,0.0,
21,21,EEEL4_2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,4.73,0.58,0.42,0.98,40.32,0.0,10.42,20.69,6.75,3.9,1.15,0.19,0.0,0.0,
22,22,EEEL4_2011,0.0,11.64,0.47,0.0,7.68,1.35,0.27,1.49,0.42,0.0,9.75,0.23,5.6,0.0,0.14,0.0,2.22,0.58,0.42,2.13,45.52,0.0,17.53,11.56,4.07,2.34,4.77,0.2,0.0,0.0,
23,23,EEEL4_2012,0.0,10.99,0.49,0.0,3.62,1.02,0.26,0.69,0.53,0.0,0.17,0.23,5.16,0.05,0.34,0.0,2.89,0.62,0.38,4.28,55.79,0.0,28.2,9.28,3.9,2.4,6.65,0.26,0.0,0.0,
24,24,EEEL4_2013,0.0,3.44,0.38,0.0,1.86,0.87,0.2,0.7,0.34,0.0,0.1,0.49,4.47,0.03,0.38,0.0,1.85,0.52,0.47,2.96,30.54,0.0,46.81,25.31,11.04,5.75,17.93,0.23,4.81,0.0,
25,25,EEEL4_2014,0.0,2.03,0.39,0.0,1.2,0.85,0.19,1.58,0.27,0.0,0.68,0.72,3.73,0.04,0.08,0.0,0.24,0.48,0.52,1.61,24.45,0.0,70.73,41.76,19.41,9.28,30.24,0.22,1.41,0.0,
26,26,EEEL4_2015,0.0,4.29,0.25,0.0,16.31,0.55,0.12,5.57,0.14,0.0,15.94,0.22,3.83,0.03,0.08,0.0,5.43,0.49,0.51,1.15,16.53,0.0,3.38,12.85,5.73,2.8,0.6,0.22,2.19,11.07,
27,27,EEEL4_2016,0.0,29.33,12.42,0.0,23.53,13.96,6.48,499.2,7.18,0.0,27.77,2.39,5.63,0.03,0.05,0.0,0.09,0.52,0.47,0.84,72.33,0.0,59.33,47.6,42.34,22.1,34.14,0.46,20.54,59.97,
28,28,EEEL4_2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81,240.1,0.0,0.13,0.0,0.77,0.49,0.51,1.28,17.83,0.0,37.59,38.84,17.0,8.36,13.8,0.22,1.32,0.0,
29,29,EEEL4_2018,7.14,12.42,0.91,0.0,7.07,2.1,0.42,2.97,0.58,0.0,7.66,17.91,245.08,0.22,0.13,0.0,0.98,0.47,0.53,2.08,33.12,0.0,29.78,16.94,7.31,3.4,8.58,0.2,6.25,0.0,
30,30,EEEL4_2019,3.38,11.63,1.87,11.6,10.57,4.18,879.67,8.0,1.11,10.28,9.36,40.41,251.3,0.0,0.06,0.38,0.34,0.47,0.53,2.04,44.81,36.05,39.59,35.97,16.08,7.56,13.88,0.21,10.14,0.0,117.7009090909091
31,31,EEEL4_2020,5.24,19.92,2.19,11.5,9.78,4.19,1.0,4.67,1.45,10.31,8.76,28.87,262.67,0.0,0.01,0.06,0.05,0.46,0.54,3.19,55.28,36.4,42.8,21.01,10.99,5.0,13.55,0.24,14.95,26.84,158.2307407407407
32,32,EEEL4_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,209.38,0.0,0.08,0.44,0.43,0.44,0.56,1.96,55.97,31.62,32.18,6.91,4.23,1.87,3.05,0.27,8.6,37.86,251.60399999999998
33,33,EEEL4_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03,182.72,0.0,0.43,0.65,0.65,0.37,0.63,1.84,61.09,81.94,81.88,64.47,51.46,19.18,31.79,0.3,6.73,18.11,360.2175
34,34,EEEL4_2023,0.0,5.04,2.6,3.68,3.74,2.63,0.73,7.19,0.96,3.9,3.96,81.35,157.45,0.01,0.88,1.25,1.26,0.28,0.72,1.74,51.75,71.38,70.35,52.14,51.67,14.56,23.54,0.28,6.73,14.58,
35,35,AZUL4_2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,5.87,0.07,0.93,0.64,18.26,0.0,6.91,1.12,15.62,1.04,10.3,0.93,0.0,0.0,
36,36,AZUL4_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,0.05,1.05,0.46,9.92,0.0,2.68,17.18,274.09,13.71,3.85,0.8,0.0,0.0,
37,37,AZUL4_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,4.8,9.01,0.12,0.88,0.53,18.27,9.68,5.16,1.89,12.61,1.5,3.98,0.79,0.0,0.0,
38,38,AZUL4_2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,1.44,1.95,0.27,0.73,0.99,23.19,14.95,11.1,6.79,18.67,5.13,12.59,0.76,0.0,0.0,
39,39,AZUL4_2018,0.0,107.32,75.93,53.04,85.84,4.93,2.82,26.71,3.63,55.42,89.69,0.34,0.47,0.0,0.64,2.37,3.84,0.27,0.73,0.87,17.45,9.29,5.74,4.59,13.28,3.56,5.0,0.78,0.0,0.0,
